"","X","total_accel_belt","var_total_accel_belt","accel_belt_x","accel_belt_y","accel_belt_z","total_accel_arm","var_accel_arm","accel_arm_x","accel_arm_y","accel_arm_z","total_accel_dumbbell","var_accel_dumbbell","accel_dumbbell_x","accel_dumbbell_y","accel_dumbbell_z","total_accel_forearm","var_accel_forearm","accel_forearm_x","accel_forearm_y","accel_forearm_z","classe"
"1",1,3,NA,-21,4,22,34,NA,-288,109,-123,37,NA,-234,47,-271,36,NA,192,203,-215,"A"
"2",2,3,NA,-22,4,22,34,NA,-290,110,-125,37,NA,-233,47,-269,36,NA,192,203,-216,"A"
"3",3,3,NA,-20,5,23,34,NA,-289,110,-126,37,NA,-232,46,-270,36,NA,196,204,-213,"A"
"4",4,3,NA,-22,3,21,34,NA,-289,111,-123,37,NA,-232,48,-269,36,NA,189,206,-214,"A"
"5",5,3,NA,-21,2,24,34,NA,-289,111,-123,37,NA,-233,48,-270,36,NA,189,206,-214,"A"
"6",6,3,NA,-21,4,21,34,NA,-289,111,-122,37,NA,-234,48,-269,36,NA,193,203,-215,"A"
"7",7,3,NA,-22,3,21,34,NA,-289,111,-125,37,NA,-232,47,-270,36,NA,195,205,-215,"A"
"8",8,3,NA,-22,4,21,34,NA,-289,111,-124,37,NA,-234,46,-272,36,NA,193,205,-213,"A"
"9",9,3,NA,-20,2,24,34,NA,-288,109,-122,37,NA,-232,47,-269,36,NA,193,204,-214,"A"
"10",10,3,NA,-21,4,22,34,NA,-288,110,-124,37,NA,-235,48,-270,36,NA,190,205,-215,"A"
"11",11,3,NA,-21,2,23,34,NA,-290,110,-123,37,NA,-233,47,-269,36,NA,193,205,-214,"A"
"12",12,3,NA,-22,2,23,34,NA,-288,111,-123,37,NA,-233,47,-270,36,NA,191,203,-215,"A"
"13",13,3,NA,-22,4,21,34,NA,-287,111,-124,37,NA,-234,48,-269,36,NA,193,205,-215,"A"
"14",14,3,NA,-22,4,21,34,NA,-288,111,-124,37,NA,-234,48,-268,36,NA,193,202,-214,"A"
"15",15,3,NA,-21,2,22,34,NA,-289,111,-124,37,NA,-234,47,-270,36,NA,192,201,-214,"A"
"16",16,3,NA,-21,4,23,34,NA,-289,109,-121,37,NA,-233,48,-271,36,NA,194,204,-215,"A"
"17",17,3,NA,-21,4,22,34,NA,-289,110,-122,37,NA,-233,47,-272,36,NA,192,204,-213,"A"
"18",18,3,NA,-21,5,21,34,NA,-288,108,-124,36,NA,-231,47,-268,36,NA,192,206,-216,"A"
"19",19,3,NA,-20,5,21,34,NA,-289,109,-122,37,NA,-233,47,-271,36,NA,192,203,-216,"A"
"20",20,3,NA,-22,5,22,34,NA,-289,109,-125,37,NA,-234,46,-272,36,NA,193,205,-215,"A"
"21",21,3,NA,-20,1,20,34,NA,-288,111,-124,37,NA,-234,48,-269,36,NA,194,208,-214,"A"
"22",22,3,NA,-21,3,21,34,NA,-289,111,-123,37,NA,-233,48,-270,36,NA,191,206,-213,"A"
"23",23,3,NA,-21,4,21,34,NA,-290,110,-123,37,NA,-234,48,-270,36,NA,194,206,-214,"A"
"24",24,3,0,-20,4,22,34,0,-289,110,-125,37,0.0204,-235,47,-271,36,0,193,203,-213,"A"
"25",25,3,NA,-19,4,21,34,NA,-289,109,-123,37,NA,-234,47,-271,36,NA,191,202,-214,"A"
"26",26,3,NA,-21,3,22,34,NA,-290,108,-123,37,NA,-233,46,-271,36,NA,190,203,-216,"A"
"27",27,3,NA,-22,3,22,34,NA,-289,111,-126,37,NA,-233,46,-270,36,NA,192,204,-214,"A"
"28",28,3,NA,-21,3,21,34,NA,-290,110,-126,37,NA,-234,47,-271,36,NA,193,206,-217,"A"
"29",29,3,NA,-20,4,23,34,NA,-290,109,-125,37,NA,-234,47,-271,36,NA,195,205,-217,"A"
"30",30,3,NA,-21,4,21,34,NA,-289,109,-125,37,NA,-234,47,-270,36,NA,189,204,-217,"A"
"31",31,3,NA,-21,4,22,34,NA,-290,109,-126,37,NA,-233,45,-271,36,NA,192,203,-217,"A"
"32",32,3,NA,-21,5,21,34,NA,-289,108,-127,37,NA,-234,47,-269,36,NA,192,206,-216,"A"
"33",33,3,NA,-22,4,19,34,NA,-290,110,-126,37,NA,-234,48,-272,36,NA,196,207,-216,"A"
"34",34,3,NA,-22,3,21,34,NA,-291,109,-126,37,NA,-235,48,-271,36,NA,188,204,-214,"A"
"35",35,3,NA,-22,4,22,34,NA,-290,111,-124,37,NA,-234,48,-270,36,NA,191,205,-216,"A"
"36",36,3,NA,-21,3,21,34,NA,-289,111,-123,37,NA,-233,47,-271,36,NA,191,207,-215,"A"
"37",37,3,NA,-20,3,22,34,NA,-290,111,-124,37,NA,-234,48,-270,36,NA,193,205,-214,"A"
"38",38,3,NA,-21,4,21,34,NA,-290,111,-125,37,NA,-233,49,-270,36,NA,191,205,-215,"A"
"39",39,3,NA,-21,3,21,34,NA,-289,112,-122,37,NA,-234,47,-271,36,NA,194,203,-213,"A"
"40",40,3,NA,-20,5,21,34,NA,-291,111,-123,37,NA,-233,47,-271,36,NA,194,201,-214,"A"
"41",41,3,NA,-20,6,21,34,NA,-289,110,-125,37,NA,-233,46,-271,36,NA,192,203,-212,"A"
"42",42,3,NA,-22,1,21,34,NA,-288,110,-124,37,NA,-233,47,-269,36,NA,193,208,-216,"A"
"43",43,3,NA,-22,3,20,34,NA,-289,110,-124,37,NA,-232,49,-269,36,NA,192,207,-216,"A"
"44",44,3,NA,-21,3,22,34,NA,-287,109,-123,37,NA,-234,48,-270,36,NA,192,207,-216,"A"
"45",45,3,NA,-20,1,20,34,NA,-290,110,-123,37,NA,-235,45,-272,36,NA,192,203,-215,"A"
"46",46,3,NA,-19,4,19,34,NA,-289,111,-120,37,NA,-234,48,-272,36,NA,192,202,-216,"A"
"47",47,3,NA,-19,4,21,34,NA,-289,111,-124,37,NA,-233,47,-269,36,NA,191,202,-214,"A"
"48",48,3,NA,-18,5,22,34,NA,-290,111,-123,37,NA,-233,48,-269,36,NA,194,208,-214,"A"
"49",49,3,NA,-19,3,21,34,NA,-288,108,-124,37,NA,-235,47,-267,36,NA,195,207,-216,"A"
"50",50,3,NA,-18,4,23,34,NA,-289,109,-125,36,NA,-231,49,-268,36,NA,193,206,-215,"A"
"51",51,3,NA,-20,3,21,34,NA,-289,110,-127,37,NA,-232,47,-271,36,NA,191,204,-216,"A"
"52",52,3,0,-19,4,21,34,0,-290,110,-127,37,0.0196,-232,47,-269,36,0,190,207,-216,"A"
"53",53,3,NA,-19,3,22,34,NA,-287,108,-125,37,NA,-233,49,-268,36,NA,192,204,-217,"A"
"54",54,3,NA,-20,4,23,34,NA,-289,111,-124,37,NA,-233,48,-268,36,NA,192,204,-215,"A"
"55",55,3,NA,-17,4,21,34,NA,-285,109,-122,37,NA,-235,51,-266,36,NA,190,204,-216,"A"
"56",56,3,NA,-18,3,20,34,NA,-287,110,-124,37,NA,-236,49,-270,36,NA,193,204,-215,"A"
"57",57,3,NA,-19,1,23,34,NA,-290,110,-125,37,NA,-233,48,-269,36,NA,190,205,-214,"A"
"58",58,3,NA,-21,3,22,34,NA,-289,110,-124,37,NA,-234,49,-269,36,NA,194,205,-215,"A"
"59",59,3,NA,-19,4,22,34,NA,-289,111,-120,37,NA,-234,48,-268,36,NA,192,202,-211,"A"
"60",60,3,NA,-21,4,21,34,NA,-290,111,-123,37,NA,-233,47,-270,36,NA,192,202,-213,"A"
"61",61,3,NA,-20,3,21,34,NA,-290,111,-124,37,NA,-233,47,-268,36,NA,191,201,-213,"A"
"62",62,3,NA,-20,3,22,34,NA,-290,111,-125,37,NA,-233,48,-270,36,NA,192,202,-214,"A"
"63",63,3,NA,-20,4,21,34,NA,-289,111,-121,37,NA,-233,48,-269,36,NA,187,206,-215,"A"
"64",64,3,NA,-19,5,22,34,NA,-289,110,-123,37,NA,-233,47,-270,36,NA,192,207,-216,"A"
"65",65,3,NA,-19,3,21,34,NA,-288,109,-125,37,NA,-234,48,-269,36,NA,190,208,-215,"A"
"66",66,3,NA,-21,5,20,34,NA,-289,109,-125,37,NA,-233,47,-268,36,NA,193,201,-214,"A"
"67",67,3,NA,-17,2,21,34,NA,-289,111,-124,37,NA,-234,48,-271,36,NA,193,203,-213,"A"
"68",68,3,NA,-19,2,20,34,NA,-288,111,-125,37,NA,-233,47,-268,36,NA,194,203,-212,"A"
"69",69,3,NA,-20,2,21,34,NA,-289,111,-122,37,NA,-233,46,-268,36,NA,191,202,-214,"A"
"70",70,3,NA,-20,4,21,34,NA,-289,109,-122,37,NA,-234,48,-269,36,NA,193,203,-213,"A"
"71",71,3,NA,-19,4,22,34,NA,-290,111,-123,37,NA,-234,46,-267,36,NA,190,204,-213,"A"
"72",72,3,NA,-19,3,22,34,NA,-290,111,-123,37,NA,-233,48,-268,36,NA,195,204,-215,"A"
"73",73,3,NA,-18,4,23,34,NA,-290,110,-123,37,NA,-235,49,-269,36,NA,193,206,-211,"A"
"74",74,3,NA,-19,2,25,34,NA,-290,110,-122,37,NA,-236,47,-271,36,NA,195,204,-212,"A"
"75",75,3,NA,-19,5,20,34,NA,-289,110,-122,37,NA,-233,44,-272,36,NA,195,204,-210,"A"
"76",76,3,0,-20,3,22,34,0,-289,110,-122,37,0.0217,-232,46,-269,36,0,192,205,-213,"A"
"77",77,3,NA,-19,3,22,34,NA,-290,111,-124,37,NA,-234,48,-270,36,NA,193,207,-213,"A"
"78",78,3,NA,-21,4,22,34,NA,-290,111,-123,37,NA,-233,47,-270,36,NA,191,206,-213,"A"
"79",79,3,NA,-18,2,22,34,NA,-288,109,-125,37,NA,-235,48,-270,36,NA,189,207,-217,"A"
"80",80,3,NA,-19,2,22,34,NA,-288,110,-121,37,NA,-234,46,-268,36,NA,192,207,-214,"A"
"81",81,3,NA,-21,3,23,34,NA,-290,111,-124,37,NA,-233,47,-268,36,NA,194,202,-214,"A"
"82",82,3,NA,-18,3,20,34,NA,-289,110,-123,37,NA,-234,46,-269,36,NA,192,201,-213,"A"
"83",83,3,NA,-19,4,21,34,NA,-288,109,-122,37,NA,-235,46,-271,36,NA,189,202,-213,"A"
"84",84,3,NA,-20,4,21,34,NA,-288,109,-123,37,NA,-235,47,-270,36,NA,191,200,-215,"A"
"85",85,3,NA,-20,3,21,34,NA,-290,111,-123,37,NA,-233,46,-271,36,NA,190,207,-215,"A"
"86",86,3,NA,-20,4,22,34,NA,-291,111,-123,37,NA,-235,47,-269,36,NA,190,205,-215,"A"
"87",87,3,NA,-20,4,22,34,NA,-289,110,-122,37,NA,-234,46,-270,36,NA,195,203,-213,"A"
"88",88,3,NA,-20,4,22,34,NA,-289,109,-124,37,NA,-235,46,-270,36,NA,194,201,-212,"A"
"89",89,3,NA,-20,4,21,34,NA,-289,109,-123,37,NA,-233,43,-269,36,NA,191,204,-214,"A"
"90",90,3,NA,-20,4,23,34,NA,-291,109,-121,37,NA,-234,46,-270,36,NA,193,205,-215,"A"
"91",91,3,NA,-20,3,24,34,NA,-290,109,-123,37,NA,-234,46,-271,36,NA,191,205,-213,"A"
"92",92,3,NA,-19,3,21,34,NA,-289,110,-125,37,NA,-235,46,-270,36,NA,191,204,-212,"A"
"93",93,3,NA,-20,3,22,34,NA,-290,111,-125,37,NA,-232,45,-270,36,NA,191,206,-213,"A"
"94",94,3,NA,-20,4,23,34,NA,-289,109,-123,37,NA,-235,46,-269,36,NA,190,206,-213,"A"
"95",95,3,NA,-20,5,21,34,NA,-289,111,-123,37,NA,-234,45,-272,36,NA,192,206,-213,"A"
"96",96,3,NA,-21,3,24,34,NA,-288,109,-122,37,NA,-232,44,-271,36,NA,193,203,-212,"A"
"97",97,3,NA,-21,3,23,34,NA,-290,111,-122,37,NA,-232,46,-271,36,NA,192,202,-214,"A"
"98",98,3,NA,-19,5,23,34,NA,-288,109,-126,37,NA,-235,48,-271,36,NA,190,205,-216,"A"
"99",99,3,NA,-19,3,24,34,NA,-289,108,-122,37,NA,-234,46,-271,36,NA,192,206,-214,"A"
"100",100,3,NA,-19,4,23,34,NA,-289,111,-122,37,NA,-233,45,-269,36,NA,191,206,-213,"A"
"101",101,3,NA,-20,3,25,34,NA,-290,110,-124,37,NA,-234,44,-270,36,NA,191,208,-215,"A"
"102",102,3,NA,-18,4,25,34,NA,-288,109,-125,37,NA,-235,45,-273,36,NA,194,206,-212,"A"
"103",103,3,NA,-19,3,23,34,NA,-289,110,-123,37,NA,-234,46,-271,36,NA,190,206,-214,"A"
"104",104,3,NA,-20,3,25,34,NA,-288,109,-120,37,NA,-234,45,-272,36,NA,193,205,-213,"A"
"105",105,3,NA,-21,4,23,34,NA,-286,109,-121,37,NA,-232,45,-271,36,NA,193,206,-214,"A"
"106",106,3,NA,-19,4,24,34,NA,-288,110,-124,37,NA,-233,45,-270,36,NA,195,205,-214,"A"
"107",107,3,NA,-20,4,27,34,NA,-289,112,-124,37,NA,-234,46,-270,36,NA,192,204,-215,"A"
"108",108,3,NA,-19,4,24,34,NA,-285,111,-123,37,NA,-234,48,-269,36,NA,191,203,-213,"A"
"109",109,3,NA,-19,4,24,34,NA,-286,110,-124,37,NA,-233,46,-270,36,NA,192,202,-215,"A"
"110",110,3,NA,-19,4,24,34,NA,-289,111,-123,37,NA,-234,47,-272,36,NA,192,205,-215,"A"
"111",111,3,NA,-20,3,25,34,NA,-290,110,-122,37,NA,-234,45,-271,36,NA,191,205,-213,"A"
"112",112,3,NA,-20,3,27,34,NA,-288,109,-122,37,NA,-234,45,-273,36,NA,193,207,-215,"A"
"113",113,3,NA,-20,3,25,34,NA,-291,111,-122,37,NA,-234,44,-270,36,NA,196,207,-212,"A"
"114",114,3,NA,-21,4,24,34,NA,-288,110,-123,37,NA,-234,46,-273,36,NA,192,203,-214,"A"
"115",115,3,NA,-22,3,24,34,NA,-288,110,-122,37,NA,-234,47,-272,37,NA,202,207,-213,"A"
"116",116,3,NA,-20,2,27,34,NA,-287,108,-122,37,NA,-233,47,-269,36,NA,193,206,-215,"A"
"117",117,3,NA,-20,5,26,34,NA,-286,109,-124,37,NA,-234,48,-271,36,NA,189,205,-215,"A"
"118",118,3,NA,-19,8,22,34,NA,-288,110,-122,37,NA,-233,47,-272,36,NA,190,204,-216,"A"
"119",119,3,NA,-18,4,20,34,NA,-288,111,-123,37,NA,-235,47,-272,36,NA,196,203,-214,"A"
"120",120,3,NA,-19,2,22,34,NA,-288,111,-122,37,NA,-234,47,-270,36,NA,195,202,-215,"A"
"121",121,3,NA,-19,2,23,34,NA,-288,110,-122,37,NA,-233,47,-271,36,NA,191,200,-213,"A"
"122",122,3,NA,-19,1,23,34,NA,-288,111,-123,37,NA,-232,44,-270,36,NA,192,203,-213,"A"
"123",123,3,NA,-22,1,23,34,NA,-287,110,-120,37,NA,-233,45,-270,37,NA,199,208,-216,"A"
"124",124,3,NA,-20,3,21,34,NA,-288,112,-123,37,NA,-232,42,-271,36,NA,192,204,-213,"A"
"125",125,3,NA,-19,4,20,34,NA,-288,112,-123,37,NA,-232,48,-271,36,NA,191,204,-214,"A"
"126",126,3,NA,-20,5,23,34,NA,-288,110,-124,37,NA,-235,47,-271,36,NA,192,204,-214,"A"
"127",127,3,NA,-19,4,23,34,NA,-287,110,-123,37,NA,-234,48,-270,36,NA,192,205,-214,"A"
"128",128,3,NA,-19,3,25,34,NA,-288,111,-123,37,NA,-232,46,-270,36,NA,192,205,-214,"A"
"129",129,3,NA,-17,3,24,34,NA,-289,111,-124,37,NA,-232,47,-272,36,NA,193,204,-215,"A"
"130",130,3,NA,-19,4,26,34,NA,-286,110,-124,37,NA,-237,48,-272,36,NA,192,202,-211,"A"
"131",131,3,NA,-19,5,25,34,NA,-289,110,-122,37,NA,-237,48,-272,36,NA,189,203,-213,"A"
"132",132,3,NA,-20,3,26,34,NA,-288,109,-122,37,NA,-237,48,-272,36,NA,192,204,-216,"A"
"133",133,3,NA,-18,4,23,34,NA,-287,110,-124,37,NA,-237,48,-272,36,NA,194,203,-215,"A"
"134",134,3,NA,-20,5,23,34,NA,-287,111,-122,37,NA,-237,48,-272,36,NA,195,204,-215,"A"
"135",135,3,NA,-19,3,22,34,NA,-287,111,-122,37,NA,-237,48,-272,36,NA,194,204,-213,"A"
"136",136,3,NA,-21,4,21,34,NA,-287,111,-124,37,NA,-237,48,-272,36,NA,194,202,-212,"A"
"137",137,3,NA,-19,4,21,34,NA,-288,110,-123,37,NA,-237,48,-272,36,NA,192,204,-215,"A"
"138",138,3,NA,-18,4,22,34,NA,-288,110,-122,37,NA,-237,48,-272,36,NA,193,203,-217,"A"
"139",139,3,NA,-20,3,21,34,NA,-288,108,-121,37,NA,-237,48,-272,36,NA,195,203,-214,"A"
"140",140,3,NA,-19,5,20,34,NA,-288,109,-123,37,NA,-237,48,-272,36,NA,193,203,-213,"A"
"141",141,3,NA,-19,4,20,34,NA,-287,107,-122,37,NA,-237,48,-272,36,NA,191,202,-215,"A"
"142",142,3,NA,-18,5,22,34,NA,-288,111,-121,37,NA,-237,48,-272,36,NA,191,204,-214,"A"
"143",143,3,NA,-18,5,19,34,NA,-286,109,-122,37,NA,-237,48,-272,36,NA,192,203,-214,"A"
"144",144,3,NA,-17,3,21,34,NA,-289,112,-122,37,NA,-237,48,-272,36,NA,195,204,-215,"A"
"145",145,3,NA,-17,5,22,34,NA,-286,111,-121,37,NA,-237,48,-272,36,NA,192,204,-213,"A"
"146",146,3,NA,-19,5,21,34,NA,-287,111,-122,37,NA,-237,48,-272,36,NA,193,204,-214,"A"
"147",147,3,NA,-19,3,22,34,NA,-289,111,-123,37,NA,-237,48,-272,36,NA,196,206,-213,"A"
"148",148,3,NA,-17,3,23,34,NA,-289,110,-124,37,NA,-237,48,-272,36,NA,193,202,-211,"A"
"149",149,3,NA,-17,3,23,34,NA,-287,108,-123,37,NA,-237,48,-272,36,NA,193,202,-214,"A"
"150",150,3,NA,-18,4,23,34,NA,-287,108,-122,37,NA,-237,48,-272,36,NA,191,204,-214,"A"
"151",151,3,NA,-18,3,24,34,NA,-286,112,-121,37,NA,-237,48,-272,36,NA,194,204,-215,"A"
"152",152,3,NA,-20,3,25,34,NA,-290,110,-122,3,NA,5,16,-26,36,NA,194,203,-213,"A"
"153",153,3,NA,-18,3,26,34,NA,-289,111,-122,3,NA,5,17,-26,36,NA,194,201,-214,"A"
"154",154,3,NA,-18,3,28,34,NA,-286,111,-121,4,NA,6,23,-25,36,NA,194,202,-213,"A"
"155",155,4,NA,-20,3,29,34,NA,-289,112,-120,4,NA,13,35,-18,36,NA,191,205,-214,"A"
"156",156,3,NA,-17,5,27,34,NA,-288,110,-120,4,NA,13,35,-18,36,NA,191,205,-215,"A"
"157",157,3,NA,-18,4,27,34,NA,-286,111,-122,4,NA,10,33,-19,36,NA,191,203,-215,"A"
"158",158,4,NA,-19,3,29,34,NA,-287,109,-122,5,NA,9,40,-22,36,NA,193,204,-214,"A"
"159",159,3,NA,-19,5,28,34,NA,-287,109,-122,5,NA,9,44,-26,36,NA,193,204,-212,"A"
"160",160,4,NA,-21,4,30,34,NA,-288,111,-122,5,NA,9,44,-26,36,NA,192,203,-211,"A"
"161",161,4,NA,-20,5,29,34,NA,-286,110,-122,6,NA,13,51,-26,36,NA,195,204,-215,"A"
"162",162,4,NA,-21,4,28,34,NA,-286,109,-123,6,NA,14,56,-19,36,NA,193,202,-213,"A"
"163",163,4,NA,-21,3,28,34,NA,-287,111,-123,6,NA,15,52,-10,36,NA,195,203,-216,"A"
"164",164,3,NA,-19,4,28,34,NA,-287,112,-122,6,NA,18,59,-11,36,NA,189,202,-213,"A"
"165",165,4,0.2,-19,2,29,34,0.0278,-289,113,-122,6,230.4278,18,57,-15,36,0,195,205,-213,"A"
"166",166,21,NA,-43,70,-188,25,NA,-215,-76,-87,3,NA,-19,-23,13,35,NA,151,234,-198,"A"
"167",167,21,NA,-45,68,-185,25,NA,-212,-77,-86,3,NA,-11,-25,15,35,NA,152,235,-197,"A"
"168",168,21,NA,-42,70,-184,25,NA,-217,-75,-87,5,NA,-10,-39,22,35,NA,152,235,-198,"A"
"169",169,21,NA,-44,70,-187,25,NA,-217,-76,-87,5,NA,-4,-34,35,35,NA,147,237,-196,"A"
"170",170,21,NA,-42,68,-188,25,NA,-217,-77,-86,5,NA,4,-36,37,35,NA,146,237,-198,"A"
"171",171,21,NA,-41,70,-189,25,NA,-216,-75,-88,6,NA,23,-37,45,35,NA,157,237,-193,"A"
"172",172,21,NA,-44,68,-186,25,NA,-217,-74,-90,8,NA,16,-28,75,34,NA,154,226,-191,"A"
"173",173,21,NA,-42,69,-186,25,NA,-216,-77,-88,8,NA,19,-30,73,35,NA,157,236,-192,"A"
"174",174,21,NA,-41,69,-185,25,NA,-215,-79,-88,9,NA,16,-30,79,35,NA,153,235,-193,"A"
"175",175,21,NA,-42,67,-186,25,NA,-216,-77,-88,9,NA,6,-26,87,34,NA,153,227,-191,"A"
"176",176,21,NA,-44,68,-184,25,NA,-217,-74,-86,8,NA,23,1,72,34,NA,152,228,-192,"A"
"177",177,21,NA,-49,70,-185,25,NA,-215,-77,-86,12,NA,27,-23,110,34,NA,148,226,-195,"A"
"178",178,21,NA,-50,69,-186,25,NA,-217,-77,-85,12,NA,26,-44,110,34,NA,144,225,-197,"A"
"179",179,21,NA,-46,70,-183,25,NA,-216,-74,-87,11,NA,14,-11,108,34,NA,151,223,-196,"A"
"180",180,21,NA,-45,68,-187,25,NA,-216,-75,-86,11,NA,19,-3,104,34,NA,151,222,-194,"A"
"181",181,21,NA,-44,69,-187,25,NA,-215,-76,-90,10,NA,17,-7,101,33,NA,144,219,-195,"A"
"182",182,21,NA,-43,69,-185,25,NA,-218,-70,-87,9,NA,-1,-37,81,35,NA,152,240,-184,"A"
